JMP Goblins 2,J25 Wizards 2,J25 Dinner,J22 Unlucky Thirteen,PT4.5944183S,14
JMP Legion 3,JMP Goblins 3,JMP Well-Read 3,J22 Zombies 2,PT2.1038943S,12
J25 Goblins 2,J22 Wolves 1,J22 Boneyard 1,JMP Minotaurs 2,PT17.9220613S,20
JMP Enchanted 1,J22 Zombies 3,J22 Insects 3,J22 Spirits 2,PT19.0093825S,21
J22 Wolves 2,J25 Enchanted 1,JMP Spirits 2,J22 Rats,PT2.4865698S,15
J22 Insects 4,J22 Multi-Headed 2,JMP Feathered Friends 1,J25 Grave Robbers 4,PT12.2332434S,25
J22 Blink 4,JMP Lightning 1,J22 Urza's,J25 Encounter 3,PT8.627633S,27
JMP Predatory 4,J25 Warriors 1,JMP Under the Sea 1,JMP Chandra,PT1M44.8298S,32
J22 Eldrazi,JMP Doctor 3,J25 Healers 2,J25 Stoked 2,PT5.9613553S,19
J22 Blink 1,JMP Basri,J22 Insects 4,J22 Experimental 2,PT4.1448863S,22
J22 Experimental 1,J25 Goblins 1,JMP Legion 1,JMP Dragons 2,PT8.9849704S,21
J22 Speedy,JMP Heavily Armored 2,J25 Bookworms 2,J22 Eldrazi,PT7.1103385S,18
J25 Encounter 3,J25 Healers 2,J25 Beasts 2,JMP Liliana,PT2.540059S,14
J25 Clerics 2,JMP Reanimated 4,J25 Zealots 2,J22 Goblins 2,PT29.6581287S,23
JMP Minions 3,J22 Demons 2,J22 Go to School 2,J22 Merfolk 1,PT4.0728689S,13
J25 Elves 1,J22 Cycling 1,J25 Inventive 4,JMP Garruk,PT2.4532077S,14
J25 Soaring 4,JMP Spellcasting 4,JMP Rogues 2,JMP Minotaurs 1,PT6.6828553S,15
JMP Legion 3,J22 Spirits 2,J22 Multi-Headed 2,J22 Detective 2,PT5.5962099S,20
J25 Treasures 2,JMP Plus One 4,JMP Above the Clouds 4,J22 Raid 2,PT3.290337S,20
J22 Treasure 3,J22 Zombies 1,J22 Fiery 3,J22 Ferocious 1,PT5.0681337S,19
J22 Rats,JMP Minions 4,J25 Zealots 3,JMP Minions 2,PT11.9216734S,38
J22 Inventive 3,JMP Goblins 4,JMP Heavily Armored 1,JMP Archaeology 3,PT2.2910993S,17
J25 Armed 2,J25 Bookworms 2,J22 Fiery 4,JMP Legion 1,PT8.6777557S,22
J25 Vampires 4,JMP Predatory 1,J22 Cruel 3,JMP Milling,PT7.3884017S,27
J22 Knights,J22 Insects 3,J25 Beasts 1,J22 Dragons 1,PT4.4265498S,16
J25 Enchanted 4,J25 Enchanted 2,J25 Zealots 2,JMP Dogs 1,PT19.8050027S,22
JMP Archaeology 4,JMP Spooky 1,J25 Goblins 3,JMP Witchcraft 2,PT6.2555344S,20
J22 Fangs 2,J22 Dragons 1,J22 Raid 3,JMP Reanimated 3,PT1.4937308S,11
J22 Experimental 2,J25 Burning,JMP Pirates 2,J25 Drowned 2,PT18.72918S,25
JMP Elves 2,JMP Plus One 1,JMP Above the Clouds 2,J25 Inventive 1,PT1.2514882S,9
J25 Surprise 3,J22 Inventive 1,J25 Elves 3,JMP Dinosaurs 2,PT4.1649801S,18
JMP Well-Read 2,J22 Inventive 2,J25 Elves 3,J25 Of the Coast 1,PT2.8833261S,13
J25 Ghastly 2,J22 Wolves 3,JMP Chandra,J25 Vampires 3,PT5.7143069S,18
J22 Cats 4,JMP Liliana,J22 Fangs 2,JMP Smashing 1,PT4.4206563S,18
JMP Under the Sea 2,J25 Explorers 1,JMP Minotaurs 1,JMP Well-Read 1,PT4.1176178S,20
J25 Dinosaurs 1,J25 Soaring 4,JMP Rogues 2,JMP Vampires 3,PT2.5397211S,13
J25 Goblins 1,J25 Drowned 2,J22 Blink 1,J22 Elves 4,PT3M48.8111109S,31
JMP Plus One 1,J22 Shapeshifters,JMP Wizards 3,JMP Devilish 1,PT8.5494434S,21
JMP Above the Clouds 2,J22 Gigantic 1,J22 Cruel 2,JMP Goblins 3,PT2.7458646S,15
JMP Tree Hugging 2,JMP Spirits 2,JMP Minions 4,J22 Gigantic 1,PT8.7241745S,20
